date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:55	103937/103937	---M--	200	added ('OK')	application/octet-stream	etag:%225554a428-19601%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.eot?	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfontd41d.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:56:59	127032/127032	---M--	200	added ('OK')	application/octet-stream	etag:%225554a428-1f038%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.woff	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.woff	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:03	87658/87658	---M--	200	added ('OK')	application/octet-stream	etag:%225554a427-1566a%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.eot	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:07	74368/74368	---M--	200	added ('OK')	application/octet-stream	etag:%225554a428-12280%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.woff2	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.woff2	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:14	87658/87658	---M--	200	added ('OK')	application/octet-stream	etag:%225554a427-1566a%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.eot?	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfontd41d.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:20	104352/104352	---M--	200	added ('OK')	application/octet-stream	etag:%225554a427-197a0%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.woff	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.woff	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:30	277036/277036	---M--	200	added ('OK')	application/octet-stream	etag:%225554a428-43a2c%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.ttf	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.ttf	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:30	94790/94790	---M--	200	added ('OK')	application/octet-stream	etag:%225554a425-17246%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.eot	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:33	80312/80312	---M--	200	added ('OK')	application/octet-stream	etag:%225554a426-139b8%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.woff2	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.woff2	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:43	231712/231712	---M--	200	added ('OK')	application/octet-stream	etag:%225554a427-38920%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.ttf	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairline-webfont.ttf	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:45	94790/94790	---M--	200	added ('OK')	application/octet-stream	etag:%225554a425-17246%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.eot?	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfontd41d.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:57:50	113056/113056	---M--	200	added ('OK')	application/octet-stream	etag:%225554a425-1b9a0%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.woff	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.woff	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:58:00	105586/105586	---M--	200	added ('OK')	application/octet-stream	etag:%225554a424-19c72%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.eot	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:58:00	89516/89516	---M--	200	added ('OK')	application/octet-stream	etag:%225554a425-15dac%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.woff2	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.woff2	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:58:09	105586/105586	---M--	200	added ('OK')	application/octet-stream	etag:%225554a424-19c72%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.eot?	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfontd41d.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:58:11	243852/243852	---M--	200	added ('OK')	application/octet-stream	etag:%225554a425-3b88c%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.ttf	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-bold-webfont.ttf	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:58:20	128672/128672	---M--	200	added ('OK')	application/octet-stream	etag:%225554a424-1f6a0%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.woff	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-blackitalic-webfont.woff	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:58:24	95122/95122	---M--	200	added ('OK')	application/octet-stream	etag:%225554a423-17392%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-black-webfont.eot	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-black-webfont.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
